id_categoria;nome_categoria;appid 
25806;"Single-player;Partial Controller Support";987060
25807;"Single-player;Multi-player;Local Multi-Player;Full controller support";987180
25808;"Single-player;Steam Achievements;Captions available;Steam Cloud";987190
25809;"Single-player;Steam Achievements;Captions available;Steam Cloud";987200
25810;"Single-player;Steam Achievements;Steam Cloud";987210
25811;Single-player;987230
25812;Single-player;987370
25813;Single-player;987490
25814;"Single-player;Steam Achievements";987580
25815;"Single-player;Steam Achievements";987590
25816;"Single-player;Online Multi-Player";987660
25817;"Single-player;Steam Achievements;Steam Cloud";987710
25818;Single-player;987740
25819;Single-player;987770
25820;"Single-player;Full controller support";987800
25821;"Local Multi-Player;Shared/Split Screen;Partial Controller Support";987820
25822;"Single-player;Steam Achievements;Full controller support;Steam Leaderboards";987850
25823;Single-player;987900
25824;Single-player;987910
25825;"Single-player;Multi-player;MMO";987980
25826;Single-player;987990
25827;"Single-player;Steam Achievements";988070
25828;"Single-player;Full controller support;Steam Cloud";988100
25829;Single-player;988110
25830;Single-player;988190
25831;"Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards";988240
25832;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Leaderboards";988250
25833;Single-player;988330
25834;Single-player;988340
25835;Single-player;988370
25836;"Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Stats";988430
25837;"Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Partial Controller Support;Stats";988480
25838;Single-player;988500
25839;Single-player;988600
25840;"Single-player;Steam Achievements";988650
25841;Single-player;988890
25842;Partial Controller Support;988920
25843;"Single-player;Steam Achievements";988980
25844;Multi-player;989000
25845;Single-player;989010
25846;Single-player;989040
25847;"Single-player;Steam Achievements;Includes level editor";989050
25848;Single-player;989070
25849;Single-player;989140
25850;"Single-player;Partial Controller Support";989160
25851;"Single-player;Partial Controller Support";989190
25852;"Single-player;Steam Achievements;Full controller support";989250
25853;"Single-player;Steam Achievements";989340
25854;Single-player;989430
25855;"Single-player;Co-op;Steam Achievements";989450
25856;"Single-player;Full controller support";989490
25857;"Single-player;Steam Leaderboards";989540
25858;"Single-player;Steam Achievements";989560
25859;"Single-player;Steam Achievements";989630
25860;Single-player;989640
25861;"Single-player;Steam Achievements";989650
25862;Single-player;989780
25863;Single-player;989870
25864;"Single-player;Steam Achievements";989910
25865;"Single-player;Online Multi-Player;MMO;Online Co-op;In-App Purchases";990060
25866;Single-player;990160
25867;Single-player;990180
25868;Partial Controller Support;990230
25869;"Single-player;Steam Achievements;In-App Purchases;Steam Cloud";990250
25870;"Single-player;Steam Achievements";990400
